ts	awake	submitted	loop	actions
2026-07-09T17:17:40Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-09T17:17:55Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-09T17:18:11Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-09T17:18:27Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-09T17:18:42Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-09T17:18:58Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-09T17:19:14Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-09T17:19:29Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-09T17:19:45Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-09T17:20:01Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-09T17:20:16Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-09T17:20:32Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-09T17:20:48Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=3	0	fairness	[]
2026-07-09T17:21:03Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	1	fairness	[{"kind":"scale","model":"dsqwen-7b","delta":1,"reason":"low_fairness_sleeping_capacity","source_loop":"fairness","requires_safescale":false,"receiver":"dsqwen-7b","donor":null}]
2026-07-09T17:21:19Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-09T17:21:35Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-09T17:21:50Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-09T17:22:06Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-09T17:22:22Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-09T17:22:37Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-09T17:22:53Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-09T17:23:09Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-09T17:23:24Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-09T17:23:40Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-09T17:23:56Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-09T17:24:11Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
