ts	awake	submitted	loop	actions
2026-07-08T21:48:49Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-08T21:49:05Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-08T21:49:21Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-08T21:49:36Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-08T21:49:52Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-08T21:50:08Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-08T21:50:23Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-08T21:50:39Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-08T21:50:55Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-08T21:51:10Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-08T21:51:26Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-08T21:51:42Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-08T21:51:57Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=3	1	rescue	[{"kind":"scale","model":"dsqwen-7b","delta":1,"reason":"critical_sleeping_capacity","source_loop":"rescue","requires_safescale":false,"receiver":"dsqwen-7b","donor":null}]
2026-07-08T21:52:13Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	1	fairness	[{"kind":"scale","model":"dsqwen-7b","delta":1,"reason":"low_fairness_sleeping_capacity","source_loop":"fairness","requires_safescale":false,"receiver":"dsqwen-7b","donor":null}]
2026-07-08T21:52:29Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T21:52:44Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T21:53:00Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T21:53:16Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T21:53:31Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T21:53:47Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T21:54:03Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T21:54:18Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T21:54:34Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T21:54:50Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T21:55:05Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T21:55:21Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T21:55:37Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T21:55:52Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T21:56:08Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T21:56:23Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T21:56:39Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T21:56:55Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T21:57:10Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T21:57:26Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T21:57:42Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T21:57:57Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T21:58:13Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T21:58:29Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T21:58:44Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T21:59:00Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T21:59:16Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T21:59:31Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T21:59:47Z	dsllama-8b=2,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:00:03Z	dsllama-8b=2,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:00:18Z	dsllama-8b=2,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:00:34Z	dsllama-8b=2,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:00:49Z	dsllama-8b=2,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:01:05Z	dsllama-8b=2,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:01:21Z	dsllama-8b=2,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:01:36Z	dsllama-8b=2,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:01:52Z	dsllama-8b=2,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:02:08Z	dsllama-8b=2,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:02:23Z	dsllama-8b=2,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:02:39Z	dsllama-8b=2,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:02:55Z	dsllama-8b=2,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:03:10Z	dsllama-8b=2,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:03:26Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	2	rescue	[{"kind":"scale","model":"dsqwen-7b","delta":-1,"reason":"idle_proactive_immediate","source_loop":"rescue","requires_safescale":false,"receiver":null,"donor":"dsqwen-7b"},{"kind":"scale","model":"dsllama-8b","delta":-1,"reason":"idle_proactive_immediate","source_loop":"rescue","requires_safescale":false,"receiver":null,"donor":"dsllama-8b"}]
2026-07-08T22:03:42Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-08T22:03:57Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-08T22:04:13Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-08T22:04:29Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-08T22:04:44Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-08T22:05:00Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-08T22:05:16Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-08T22:05:31Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-08T22:05:47Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	fairness	[]
2026-07-08T22:06:03Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-08T22:06:18Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-08T22:06:34Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	0	rescue	[]
2026-07-08T22:06:50Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:07:05Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:07:21Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:07:37Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:07:52Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:08:08Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:08:23Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:08:39Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:08:55Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:09:10Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:09:26Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:09:42Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:09:57Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:10:13Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:10:28Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:10:44Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:11:00Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:11:15Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:11:31Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:11:47Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:12:02Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:12:18Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:12:34Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:12:49Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:13:05Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:13:21Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:13:36Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:13:52Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:14:08Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:14:23Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
2026-07-08T22:14:39Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:14:55Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:15:10Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	fairness	[]
2026-07-08T22:15:26Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=4	0	rescue	[]
